,Number of floats,Calibration Type
0,1,"1-point multiplicative correction using WOD at 1792.895 dbar. The quoted error was computed via comparisons with monthly or annual climatology data, interpolated to float location, depth, and season, "
1,1,"1-point multiplicative correction using WOD at 1795.3 dbar. The quoted error was computed via comparisons with monthly or annual climatology data, interpolated to float location, depth, and season, fr"
2,1,"1-point multiplicative correction using WOD at 1795.5 dbar. The quoted error was computed via comparisons with monthly or annual climatology data, interpolated to float location, depth, and season, fr"
3,1,"1-point multiplicative correction using WOD at 1795.6 dbar. The quoted error was computed via comparisons with monthly or annual climatology data, interpolated to float location, depth, and season, fr"
4,1,"1-point multiplicative correction using WOD at 1797.7 dbar. The quoted error was computed via comparisons with monthly or annual climatology data, interpolated to float location, depth, and season, fr"
5,1,"1-point multiplicative correction using WOD at 1799.1 dbar. The quoted error was computed via comparisons with monthly or annual climatology data, interpolated to float location, depth, and season, fr"
6,1,"1-point multiplicative correction using WOD at 1799.2 dbar. The quoted error was computed via comparisons with monthly or annual climatology data, interpolated to float location, depth, and season, fr"
7,1,"1-point multiplicative correction using WOD at 1799.4 dbar. The quoted error was computed via comparisons with monthly or annual climatology data, interpolated to float location, depth, and season, fr"
8,25,"1-point multiplicative correction using WOD at 1800 dbar. The quoted error was computed via comparisons with monthly or annual climatology data, interpolated to float location, depth, and season, from"
9,2,Adjusted PPOX at zero for the minimum and estimate the gain with Annual WOA2018 (OMZ)                                                                                                                   
10,13,Adjusted PPOX at zero for the minimum and estimate the gain with Monthly WOA2018 (OMZ)                                                                                                                  
11,4,"Adjusted on CTD at deployment, optode simple calibration                                                                                                                                                "
12,1,Adjusted on WOA annual climatology at surface                                                                                                                                                           
13,1,Adjusted on WOA with SageO2                                                                                                                                                                             
14,1,Adjusted on WOA2018 with SageO2                                                                                                                                                                         
15,6,Adjusted with SAGEO2 based on WOA climatology                                                                                                                                                           
16,3,Adjusted with SAGEO2 on WOA                                                                                                                                                                             
17,1,Adjusted with SAGEO2 using continuous in-air measurements                                                                                                                                               
18,12,"Adjusted with SAGEO2 with in-air measurements (Johnson et al., 2015)                                                                                                                                    "
19,1,"Adjusted with SAGEO2, based on WOA climatology                                                                                                                                                          "
20,1,"Adjusted with SageO2, based on WOA climatology                                                                                                                                                          "
21,2,"Adjusted with SageO2, with in-air measurements                                                                                                                                                          "
22,2,"Adjusted with WOA at surface, simple calibration                                                                                                                                                        "
23,1,"Adjusted with WOA climatology, optode simple calibration                                                                                                                                                "
24,1,Adjusted with annual WOA 2018 at surface                                                                                                                                                                
25,1,Adjusted with in-air measurements with SAGE-O2                                                                                                                                                          
26,1,Adjusted with in-air measurements with SAGEO2                                                                                                                                                           
27,1,Adjusted with monthly WOA2018 at surface                                                                                                                                                                
28,1,Adjustment done on PPOX_DOXY;Temporal drift estimated from WOA climatology at surface - Gain based on comparison between Argo cycle 1 and reference profile rr17_37                                     
29,1,Adjustment done on PPOX_DOXY;Temporal drift estimated from WOA climatology at surface - Gain based on comparison between Argo cycle 1 and reference profile rr17_40                                     
30,1,Adjustment done on PPOX_DOXY;Temporal drift estimated from WOA climatology at surface - Gain based on comparison between Argo cycle 1 and reference profile rr17_6                                      
31,12,Adjustment via comparison of float surface O2sat to WOA2018 surface O2sat using automatically generated gain from MBARI (jplant@mbari.org). All profiles individually inspected and compared against WOA
32,6,Bias in oxygen data is corrected as a linear function of DOXY from calibrated CTD data acquired at float deployment                                                                                     
33,1,Bittig et al. (2021); float in-air data vs. NCEP reanalysis                                                                                                                                             
34,45,"DOXY_ADJUSTED computed using Stern-Volmer equation with coeffs refit from foil calibration data & WOD data as in Drucker & Riser (2016). The quoted error was computed via comparisons with WOA09 data, "
35,59,DOXY_ADJUSTED corrected based on the WOA 2018 climatology as described in Johnson et al. (2015)                                                                                                         
36,67,DOXY_ADJUSTED corrected using continuous in-air measurements as in Johnson et al. (2015)                                                                                                                
37,14,"DOXY_ADJUSTED is computed from an adjustment of in water PSAT or PPOX float data at surface by comparison to WOA PSAT climatology or WOA PPOX in using PSATWOA and TEMP and PSALfloat at 1 atm, DOXY_ADJ"
38,24,"DOXY_ADJUSTED is computed from an adjustment of in water PSAT or PPOX float data at surface by comparison to woaPSAT climatology or WOA PPOX in using woaPSAT and floatTEMP and PSAL at 1 atm, DOXY_ADJU"
